Product/Service List,,,,,
iHisto Inc,,,,,
,,,,,
Product/Service full name,Type,Memo/Description,Sales price,Purchase price,Quantity on hand
AI Training for Tissue Classifier,Service,"Smart ROI selection?€?focus only where it matters. Our experts and AI tools pinpoint the key tissue regions for faster, more reliable analysis.",115,,
"Antibody Validation:Antibody IF validation  per target (advance plan, Ab provided by Client) (Leica Bond Rx)",Service,"Antibody IF validation (Advance plan) (Leica Bond Rx)
??? pH6 retrieval buffer???4 difference Ab concentration plus 1 negative control (2 repeats)
??? pH9 retrieval buffer???4 difference Ab concentration plus 1 negative control (2 repeats)
Ab provided by Client
Including Digital scanning","1,403.00",,
"Antibody Validation:Antibody IF validation  per target (advance plan, Ab provided by iHisto) (Leica Bond Rx)",Service,"Antibody IF validation (Advance plan) (Leica Bond Rx)
??? pH6 retrieval buffer???4 difference Ab concentration plus 1 negative control (2 repeats)
??? pH9 retrieval buffer???4 difference Ab concentration plus 1 negative control (2 repeats)
Ab provided by iHisto
Including Digital scanning","1,748.00",,
"Antibody Validation:Antibody IF validation per target (basic plan, Ab provided by Client) (Leica Bond Rx)",Service,"Antibody IF validation (basic plan) (Leica Bond Rx)
??? pH6 retrieval buffer???4 difference Ab concentration plus 1 negative control (2 repeats)
??? pH9 retrieval buffer???4 difference Ab concentration plus 1 negative control (2 repeats)
Ab provided by Client","1,150.00",,
"Antibody Validation:Antibody IF validation per target (basic plan, Ab provided by iHisto) (Leica Bond Rx)",Service,"Antibody IF validation (basic plan) (Leica Bond Rx)
??? pH6 retrieval buffer???4 difference Ab concentration plus 1 negative control (2 repeats)
??? pH9 retrieval buffer???4 difference Ab concentration plus 1 negative control (2 repeats)
Ab provided by iHisto","1,495.00",,
"Antibody Validation:Antibody IF validation per target (premium plan, Ab provided by Client) (Leica Bond Rx)",Service,"Antibody IF validation (premium plan) (Leica Bond Rx)
??? pH6 retrieval buffer???4 difference Ab concentration plus 1 negative control (2 repeats)
??? pH9 retrieval buffer???4 difference Ab concentration plus 1 negative control (2 repeats)
Ab provided by Client
Including Digital scanning and Images Quantitative","1,863.00",,
"Antibody Validation:Antibody IF validation per target (premium plan, Ab provided by iHisto) (Leica Bond Rx)",Service,"Antibody IF validation (premium plan) (Leica Bond Rx)
??? pH6 retrieval buffer???4 difference Ab concentration plus 1 negative control (2 repeats)
??? pH9 retrieval buffer???4 difference Ab concentration plus 1 negative control (2 repeats)
Ab provided by iHisto
Including Digital scanning and Images Quantitative","2,208.00",,
"Antibody Validation:Antibody--IHC validation (advance plan, Ab provided by Client) (Leica Bond Rx)",Service,"Antibody IHC validation advance plan (Leica Bond Rx)
??? pH6 retrieval buffer???4 difference Ab concentration plus 1 negative control (2 repeats)
??? pH9 retrieval buffer???4 difference Ab concentration plus 1 negative control (2 repeats)
Ab provided by Client
Including Digital scanning","1,403.00",,
"Antibody Validation:Antibody--IHC validation (advance plan, Ab provided by iHisto) (Leica Bond Rx)",Service,"Antibody IHC validation advance plan (Leica Bond Rx)
??? pH6 retrieval buffer???5 difference Ab concentration plus 1 negative control (2 repeats)
??? pH9 retrieval buffer???5 difference Ab concentration plus 1 negative control (2 repeats)
Ab provided by iHisto
Including Digital scanning","1,748.00",,
"Antibody Validation:Antibody--IHC validation (basic plan, Ab provided by Client) (Leica Bond Rx)",Service,"Antibody IHC validation basic plan (Leica Bond Rx)
??? pH6 retrieval buffer???4 difference Ab concentration plus 1 negative control (2 repeats)
??? pH9 retrieval buffer???4 difference Ab concentration plus 1 negative control (2 repeats)
Ab provided by Client","1,150.00",,
